Date;Sales Value;Transactions;Quantity;Group;DateLabel
Week 44;102197.72;377;431;ControlA;Week 44 - 52
Week 45;225485.42;823;968;ControlA;Week 44 - 52
Week 46;94204.75;373;430;ControlA;Week 44 - 52
Week 47;110453.27;429;479;ControlA;Week 44 - 52
Week 48;274977.00;1071;1316;ControlA;Week 44 - 52
Week 49;206243.34;837;982;ControlA;Week 44 - 52
Week 50;85686.45;324;369;ControlA;Week 44 - 52
Week 51;109359.58;404;452;ControlA;Week 44 - 52
Week 52;63149.38;221;265;ControlA;Week 44 - 52
Week 1;80570.66;283;334;ControlA;Week 1 - 9
Week 2;61895.16;260;286;ControlA;Week 1 - 9
Week 3;60787.45;216;255;ControlA;Week 1 - 9
Week 4;72953.1;233;292;ControlA;Week 1 - 9
Week 5;79579.9;265;333;ControlA;Week 1 - 9
Week 6;64630.31;230;282;ControlA;Week 1 - 9
Week 7;42347.36;158;180;ControlA;Week 1 - 9
Week 8;37783.45;149;170;ControlA;Week 1 - 9
Week 9;80141.37;314;394;ControlA;Week 1 - 9
Week 44;112101.37;408;468;TargetA;Week 44 - 52
Week 45;218260.69;816;944;TargetA;Week 44 - 52
Week 46;89659.04;364;406;TargetA;Week 44 - 52
Week 47;115949.96;439;515;TargetA;Week 44 - 52
Week 48;275842.26;1092;1299;TargetA;Week 44 - 52
Week 49;203175.7;805;941;TargetA;Week 44 - 52
Week 50;98456.57;380;469;TargetA;Week 44 - 52
Week 51;104216.57;405;461;TargetA;Week 44 - 52
Week 52;76284.75;261;329;TargetA;Week 44 - 52
Week 1;90814.24;315;383;TargetA;Week 1 - 9
Week 2;73087.67;297;336;TargetA;Week 1 - 9
Week 3;58763.4;226;260;TargetA;Week 1 - 9
Week 4;73252.87;252;320;TargetA;Week 1 - 9
Week 5;85583.54;288;357;TargetA;Week 1 - 9
Week 6;55814.5;212;260;TargetA;Week 1 - 9
Week 7;36368.35;147;170;TargetA;Week 1 - 9
Week 8;38573.32;153;180;TargetA;Week 1 - 9
Week 9;81818.18;319;411;TargetA;Week 1 - 9
Week 44;67381.8;286;330;ControlB;Week 44 - 52
Week 45;146455.8;661;729;ControlB;Week 44 - 52
Week 46;98297.9;455;514;ControlB;Week 44 - 52
Week 47;106009.65;490;539;ControlB;Week 44 - 52
Week 48;266107.8;1068;1221;ControlB;Week 44 - 52
Week 49;186456.36;786;867;ControlB;Week 44 - 52
Week 50;85140.56;413;457;ControlB;Week 44 - 52
Week 51;95159.4;412;465;ControlB;Week 44 - 52
Week 52;70716.53;278;352;ControlB;Week 44 - 52
Week 1;70488.67;288;335;ControlB;Week 1 - 9
Week 2;57602.15;246;285;ControlB;Week 1 - 9
Week 3;46875.76;194;226;ControlB;Week 1 - 9
Week 4;60662.07;242;293;ControlB;Week 1 - 9
Week 5;80115.99;317;403;ControlB;Week 1 - 9
Week 6;56736.05;239;295;ControlB;Week 1 - 9
Week 7;42217.91;191;217;ControlB;Week 1 - 9
Week 8;38485.11;178;198;ControlB;Week 1 - 9
Week 9;101393.65;425;552;ControlB;Week 1 - 9
Week 44;72591.46;315;355;TargetB;Week 44 - 52
Week 45;147304.75;652;733;TargetB;Week 44 - 52
Week 46;93384.23;441;479;TargetB;Week 44 - 52
Week 47;106281.72;478;531;TargetB;Week 44 - 52
Week 48;260250.36;1045;1206;TargetB;Week 44 - 52
Week 49;193865.94;809;913;TargetB;Week 44 - 52
Week 50;76022.19;361;393;TargetB;Week 44 - 52
Week 51;109521.77;478;541;TargetB;Week 44 - 52
Week 52;66621.69;290;337;TargetB;Week 44 - 52
Week 1;75450.34;318;367;TargetB;Week 1 - 9
Week 2;54408.21;253;287;TargetB;Week 1 - 9
Week 3;50314.58;227;246;TargetB;Week 1 - 9
Week 4;72005.47;292;360;TargetB;Week 1 - 9
Week 5;87744.51;340;451;TargetB;Week 1 - 9
Week 6;70927.35;301;367;TargetB;Week 1 - 9
Week 7;45234.75;201;232;TargetB;Week 1 - 9
Week 8;39169.02;186;203;TargetB;Week 1 - 9
Week 9;93953.13;403;505;TargetB;Week 1 - 9
